village,vlcode,district,landslide_count,rainfall_station,rainfall_distance_m,river_station,river_distance_m,highway,road_distance_m,mean_slope_deg
Mathali,040613,Uttar Kashi,0,Joshiyara,16272.900169453775,Tekhla,19264.364926481376,tertiary,0.0,
Kyari,040614,Uttar Kashi,0,Joshiyara,17555.81042679478,Tekhla,20523.35775263606,unclassified,0.0,
Pujyar Gaon,040606,Uttar Kashi,0,Joshiyara,19700.584885629134,Tekhla,22562.022448252952,unclassified,0.0,
Danda Gaon,040617,Uttar Kashi,0,Joshiyara,21814.219208613064,Tekhla,24822.379454132504,tertiary,0.0,
Kandi,040636,Uttar Kashi,0,Joshiyara,17369.567742066614,Tekhla,20441.965350431594,tertiary,0.0,
Sira,040631,Uttar Kashi,0,Kempty,18781.602322691706,Tekhla,26031.68139376005,tertiary,0.0,
Tipra,040559,Uttar Kashi,0,Joshiyara,15336.32194944497,Tekhla,18387.317298230868,track,0.0,
Jugiara,040557,Uttar Kashi,0,Joshiyara,13493.220296949958,Tekhla,16537.891879515748,unclassified,0.0,
Mangar Gaon,040618,Uttar Kashi,0,Kempty,21419.563289479993,Tekhla,26686.7746650179,tertiary,0.0,
Banot Palla,040610,Uttar Kashi,0,Joshiyara,18874.94797328563,Tekhla,21820.049313462394,tertiary,0.0,
Mainol,040554,Uttar Kashi,0,Joshiyara,12963.904204027629,Tekhla,15959.434342154229,trunk,0.0,
Udkhola,040627,Uttar Kashi,0,Joshiyara,18887.388957722796,Tekhla,21909.638784443512,unclassified,0.0,
Tarakot,040625,Uttar Kashi,0,Joshiyara,15036.885737056951,Tekhla,18109.420733964602,track,0.0,
Patara,040569,Uttar Kashi,4,Joshiyara,12941.90514513706,Tekhla,15985.842228947029,trunk,0.0,
Jurga,040560,Uttar Kashi,1,Joshiyara,14035.897373451704,Tekhla,17100.016570966505,trunk,0.0,
Rikhar Gaon,040616,Uttar Kashi,0,Joshiyara,21149.637469793248,Tekhla,24134.07875772806,unclassified,0.0,
Dharasu,040642,Uttar Kashi,2,Joshiyara,15291.547788794096,Tekhla,18270.317278059058,tertiary,0.0,
Dargad,040623,Uttar Kashi,0,Joshiyara,17941.936090596755,Tekhla,20989.21719111432,unclassified,0.0,
Kauda Phedi,040593,Uttar Kashi,2,Joshiyara,15148.354192656265,Tekhla,18188.152082172597,trunk,0.0,
Garat,040633,Uttar Kashi,0,Joshiyara,21380.81400410387,Tekhla,24451.918394403547,track,0.0,
Badethi,040649,Uttar Kashi,3,Joshiyara,16737.53883832929,Tekhla,19692.936855650747,trunk,0.0,
Chhijula,040605,Uttar Kashi,0,Joshiyara,17899.048371137378,Tekhla,20768.73859576557,tertiary,0.0,
Tipri,040646,Uttar Kashi,0,Joshiyara,18066.715275341718,Tekhla,21103.82678179566,tertiary,0.0,
Jemar,040550,Uttar Kashi,0,Joshiyara,12586.960242718484,Tekhla,15553.681966979728,trunk,0.0,
Painthar,040555,Uttar Kashi,0,Joshiyara,11817.3272816661,Tekhla,14858.318413530214,tertiary,0.0,
Murogi,040607,Uttar Kashi,0,Joshiyara,20129.67439746388,Tekhla,23023.13930036516,unclassified,0.0,
Wan,040535,Uttar Kashi,0,Joshiyara,14968.341109742018,Tekhla,17393.917572021957,tertiary,0.0,
Jaspur,040544,Uttar Kashi,0,Joshiyara,11560.394686437749,Tekhla,14448.735245361659,unclassified,0.0,
Chhamroli,040539,Uttar Kashi,0,Joshiyara,13358.082922009327,Tekhla,15970.498246957717,tertiary,0.0,
Manglisera,040483,Uttar Kashi,0,Joshiyara,9091.607799983294,Tekhla,11454.68307128698,unclassified,0.0,
Nagal,040537,Uttar Kashi,0,Joshiyara,13001.315241398395,Tekhla,15511.036055553093,trunk,0.0,
Dang,040542,Uttar Kashi,0,Joshiyara,10215.742021010794,Tekhla,13086.122305515732,path,2.1265540260919655,
Udiyun,045977,Pauri Garhwal,0,Yamkeshwar,28329.91842306508,Rudraprayag_3,40106.57778201038,unclassified,140.75420723064443,
Bhadusera,040475,Uttar Kashi,2,Joshiyara,8646.938829759258,Tekhla,10699.836566597636,unclassified,0.0,
Nawagaon,040540,Uttar Kashi,0,Joshiyara,13116.877539497795,Tekhla,15888.532006509264,unclassified,0.0,
Saundhgaon,040538,Uttar Kashi,0,Joshiyara,13902.924823460942,Tekhla,16512.701861226018,tertiary,0.0,
Gewhoti,040536,Uttar Kashi,1,Joshiyara,13381.332692068227,Tekhla,15581.718557357659,residential,0.0,
Sartali,040541,Uttar Kashi,0,Joshiyara,10855.553652711786,Tekhla,13543.636617449258,unclassified,0.0,
Dunda Range,040597,Uttar Kashi,20,Joshiyara,4061.5234286840155,Tekhla,5064.770785666966,path,0.0,
Genwala,040546,Uttar Kashi,0,Joshiyara,10817.219068638678,Tekhla,13744.7626702911,tertiary,0.0,
Bagyal Khet,040596,Uttar Kashi,0,Joshiyara,12753.059570115976,Tekhla,15640.474310582678,unclassified,0.0,
Kunsi,040484,Uttar Kashi,0,Joshiyara,8429.644412603253,Tekhla,10950.732270631555,unclassified,0.0,
Saundhgaon,040482,Uttar Kashi,1,Joshiyara,7588.411694743326,Tekhla,9805.02667123428,unclassified,0.0,
Manj Gaon,040534,Uttar Kashi,0,Joshiyara,15369.384445812113,Tekhla,17890.618693843928,tertiary,0.0,
Kumrara,040548,Uttar Kashi,0,Joshiyara,11854.264004170545,Tekhla,14798.418751899095,trunk,0.0,
Singot,040474,Uttar Kashi,0,Joshiyara,9098.79486754173,Tekhla,10956.178546862482,unclassified,97.84719947099315,
Olya,040545,Uttar Kashi,0,Joshiyara,9857.020146862505,Tekhla,12773.752059501556,tertiary,0.0,
Mandiyasari,040547,Uttar Kashi,0,Joshiyara,9999.21700615347,Tekhla,12996.645383838568,tertiary,0.0,
Budhargaon,040485,Uttar Kashi,0,Joshiyara,8305.415538420599,Tekhla,10940.390333079116,unclassified,0.0,
Paluka,040419,Uttar Kashi,0,Purola_1,19570.40918100427,Tekhla,26829.667112177827,unclassified,0.0,
Sangosera,040481,Uttar Kashi,0,Joshiyara,7470.07377386898,Tekhla,9732.226071045643,unclassified,0.0,
Dhari Palli,040409,Uttar Kashi,0,Purola_1,19129.162033972392,Tekhla,28098.682998690558,unclassified,0.0,
Tholiyunka,040408,Uttar Kashi,0,Purola_1,19929.324595720176,Tekhla,24591.49367621568,unclassified,0.0,
Kafanaul,040407,Uttar Kashi,0,Purola_1,19247.927684715098,Tekhla,24459.853573715744,tertiary,0.0,
Darsaun,040420,Uttar Kashi,0,Purola_1,20545.454730651756,Tekhla,24982.507750099125,track,0.0,
Bajlari,040415,Uttar Kashi,0,Purola_1,19021.465701796875,Tekhla,30692.7175775726,unclassified,0.0,
Kwari,040394,Uttar Kashi,0,Purola_1,15379.499834904409,Tekhla,27396.9573454857,unclassified,26.63943789971814,
Naini,040396,Uttar Kashi,0,Purola_1,15425.086549793345,Tekhla,29012.72217804281,unclassified,0.0,
Kaslana,040433,Uttar Kashi,0,Kempty,23324.93688558916,Tekhla,29748.856011965334,unclassified,0.0,
Tunalka,040377,Uttar Kashi,3,Purola_1,13563.186710599864,Tekhla,26918.08519113551,unclassified,0.0,
Kimi,040398,Uttar Kashi,0,Purola_1,15732.454730962534,Tekhla,29360.565735108237,unclassified,138.9315532361763,
Pamari,040416,Uttar Kashi,0,Purola_1,19388.016420024367,Tekhla,30792.87762651269,unclassified,138.9496016710334,
Kandaun,040401,Uttar Kashi,0,Purola_1,16840.273267180935,Tekhla,29414.719723426027,unclassified,347.32187042100884,
Uprari,040372,Uttar Kashi,0,Purola_1,14563.125283046706,Tekhla,22886.015728491,path,0.0,
Himrola,040406,Uttar Kashi,0,Purola_1,18750.366358642794,Tekhla,26947.59879750416,tertiary,0.0,
Barnigad,040423,Uttar Kashi,0,Purola_1,20946.159568127365,Tekhla,26319.776855831566,unclassified,0.0,
Manjyali,040385,Uttar Kashi,1,Purola_1,12925.643058603493,Tekhla,30323.847219169136,tertiary,0.0,
Sapeta,040389,Uttar Kashi,1,Purola_1,14741.66943528065,Tekhla,27344.429605935693,unclassified,0.0,
Kalogi,040405,Uttar Kashi,0,Purola_1,18496.15020747162,Tekhla,28518.72184118532,tertiary,0.0,
Naugaon,040390,Uttar Kashi,0,Purola_1,13756.516002014612,Tekhla,28680.7351378451,trunk,0.0,
Pisaun,040397,Uttar Kashi,3,Purola_1,14877.036488033602,Tekhla,30229.38866807464,unclassified,0.0,
Biruntha,040403,Uttar Kashi,0,Purola_1,17011.92674103484,Tekhla,30682.069551845594,unclassified,0.0,
Sarnachak,040434,Uttar Kashi,0,Purola_1,22814.408894055367,Tekhla,27791.596161281315,unclassified,0.0,
Semalsari,040418,Uttar Kashi,0,Purola_1,20273.095620897016,Tekhla,26980.979815290477,tertiary,0.0,
Bhatiya,040378,Uttar Kashi,0,Purola_1,15079.885390418945,Tekhla,24336.164278894496,unclassified,0.0,
Thali,040181,Uttar Kashi,9,Purola_1,13171.620199043835,Tekhla,30923.419509916184,unclassified,0.0,
Malethi,045927,Pauri Garhwal,0,Srinagar_2,22437.688814688936,Rudraprayag_3,32342.824042646138,tertiary,0.0,
Garh,040426,Uttar Kashi,0,Purola_1,22755.420873933974,Tekhla,30624.91542964717,unclassified,0.0,
Gair,040421,Uttar Kashi,0,Joshiyara,20324.662866895414,Tekhla,22891.67993479221,track,0.0,
Mungra,040387,Uttar Kashi,0,Purola_1,13832.539900136571,Tekhla,27849.752951575927,trunk,0.0,
Kanseru,040375,Uttar Kashi,4,Purola_1,14424.472335032951,Tekhla,23603.914284176488,path,0.0,
Dhari Walli,040393,Uttar Kashi,0,Purola_1,14877.743504212547,Tekhla,28676.054636066372,unclassified,0.0,
Rastari,040399,Uttar Kashi,0,Purola_1,15373.436140099415,Tekhla,29425.382284905907,unclassified,0.0,
Sunara,040386,Uttar Kashi,1,Purola_1,13030.502689102459,Tekhla,28823.125547840766,trunk,0.0,
Nisari,040424,Uttar Kashi,0,Purola_1,21269.021054222543,Tekhla,30907.719044117664,tertiary,0.0,
Tinya,040404,Uttar Kashi,0,Purola_1,18157.735495031877,Tekhla,29986.387276137884,tertiary,0.0,
Muradi,040388,Uttar Kashi,4,Purola_1,14236.930401199994,Tekhla,27384.83573181991,unclassified,0.0,
Matiyali,040391,Uttar Kashi,2,Purola_1,14170.097819363,Tekhla,28574.810658893115,trunk,0.0,
Manar Gaon,040411,Uttar Kashi,0,Purola_1,18588.31692503338,Tekhla,30692.7175775726,unclassified,0.0,
Dewal,040431,Uttar Kashi,0,Kempty,22738.531619702866,Tekhla,31365.053710468965,unclassified,0.0,
Mugarsanti Range,040470,Uttar Kashi,15,Purola_1,15544.640044345322,Tekhla,17836.546751901013,path,0.0,
Kisna,040376,Uttar Kashi,0,Purola_1,14457.45970925363,Tekhla,24517.263170605373,trunk,13.794363349668625,
Baluni Gaon,047316,Pauri Garhwal,0,Yamkeshwar,15228.700829235147,Koteshwar,32178.61368748073,unclassified,0.0,
Kufan,040422,Uttar Kashi,0,Purola_1,20059.061867403645,Tekhla,29485.261640143923,tertiary,0.0,
Billagaon,040400,Uttar Kashi,3,Purola_1,16042.07525871819,Tekhla,31116.826762801156,unclassified,0.0,
Khabla,040417,Uttar Kashi,0,Purola_1,19833.691497946624,Tekhla,29658.138340599573,tertiary,27.94414053486893,
Bingsi,040395,Uttar Kashi,0,Purola_1,15832.344692777615,Tekhla,27521.473601963182,unclassified,316.2537720952245,
Sauli,040392,Uttar Kashi,0,Purola_1,14665.965413884403,Tekhla,30374.816738877897,unclassified,0.0,
Naryunka,040410,Uttar Kashi,1,Purola_1,19012.526852414845,Tekhla,28939.615625527513,tertiary,0.0,
Dandalgaon,040368,Uttar Kashi,0,Purola_1,16467.277114072796,Tekhla,19027.4356793964,trunk,0.0,
Kawadha,040604,Uttar Kashi,0,Joshiyara,17718.029939885397,Tekhla,20557.424134092544,tertiary,0.0,
Dunda Range,040598,Uttar Kashi,0,Joshiyara,7426.491936722563,Tekhla,10368.591280926912,trunk,0.0,
Basgadi,045799,Pauri Garhwal,0,Yamkeshwar,19347.924049192286,Koteshwar,29799.176814378698,tertiary,0.0,
F 1,040704,Uttar Kashi,0,Joshiyara,12853.554807822931,Tekhla,15772.78487573747,path,0.0,
Khurmola,040543,Uttar Kashi,0,Joshiyara,11845.691386524115,Tekhla,14657.547223561507,unclassified,0.0,
Garkot,047268,Pauri Garhwal,0,Yamkeshwar,8812.152008014347,Koteshwar,31739.356655831336,unclassified,106.1109459331732,
Khendori,047260,Pauri Garhwal,1,Yamkeshwar,9237.671215780007,Koteshwar,30289.8216488439,unclassified,0.0,
Ghansali,047267,Pauri Garhwal,0,Yamkeshwar,9508.726804490123,Koteshwar,31106.67296829036,track,0.0,
Gadmola,047222,Pauri Garhwal,0,Yamkeshwar,12327.305417476504,Koteshwar,24115.86518556584,tertiary,0.0,
Khamana,047271,Pauri Garhwal,3,Yamkeshwar,7691.311316121389,Koteshwar,32480.83136684974,service,0.0,
Kadurbara,047249,Pauri Garhwal,4,Yamkeshwar,5674.64959699025,Koteshwar,26906.12781077644,unclassified,0.0,
Gweel,047261,Pauri Garhwal,0,Yamkeshwar,10423.673667334044,Koteshwar,29708.18742922357,track,0.0,
Thantholi,047250,Pauri Garhwal,0,Yamkeshwar,8965.044587696657,Koteshwar,27282.431023171313,unclassified,0.0,
Kharik,047223,Pauri Garhwal,0,Yamkeshwar,12347.475218456935,Koteshwar,23657.63177830313,tertiary,264.06732477991164,
Arari,047257,Pauri Garhwal,0,Yamkeshwar,9559.56282513084,Koteshwar,29974.220178707074,unclassified,0.0,
Tatri,047226,Pauri Garhwal,0,Yamkeshwar,10618.774516333717,Koteshwar,24440.03550056084,tertiary,0.0,
Metha,047227,Pauri Garhwal,0,Yamkeshwar,11355.863600443185,Koteshwar,24387.627056098867,tertiary,0.0,
Dhunga Gadina,048721,Pauri Garhwal,0,Yamkeshwar,1515.4747401057616,Koteshwar,32684.99383435513,unclassified,0.0,
Banskatal,047259,Pauri Garhwal,1,Yamkeshwar,6311.697940168795,Koteshwar,30783.588984908314,service,0.0,
Udiyali,048782,Pauri Garhwal,1,Yamkeshwar,3131.1243139390544,Koteshwar,31828.304553404298,unclassified,0.0,
Godara,047272,Pauri Garhwal,5,Yamkeshwar,6373.751153530091,Koteshwar,32468.165908713512,unclassified,0.0,
Amola,047221,Pauri Garhwal,1,Yamkeshwar,13684.195948557368,Koteshwar,22606.655146031713,tertiary,0.0,
Khobra,048791,Pauri Garhwal,0,Yamkeshwar,3082.3751930374847,Koteshwar,32700.915681354614,unclassified,0.0,
Radeth,047255,Pauri Garhwal,1,Yamkeshwar,9772.1574311183,Koteshwar,28788.274297988988,unclassified,0.0,
Rawat Gaon,048783,Pauri Garhwal,1,Yamkeshwar,3780.1484716637283,Koteshwar,31912.864783098885,unclassified,0.0,
Lat Gaon,045874,Pauri Garhwal,0,Yamkeshwar,23485.30423791885,Koteshwar,29670.42924524005,unclassified,0.0,
Kandi,048790,Pauri Garhwal,1,Yamkeshwar,1640.3427930240262,Koteshwar,33191.59307653218,secondary,0.0,
Thangar,048722,Pauri Garhwal,0,Yamkeshwar,707.5314659428554,Koteshwar,33503.265786205295,secondary,0.0,
Borgaun Laga Kasyali,048799,Pauri Garhwal,0,Yamkeshwar,566.2531474119469,Koteshwar,33808.12935607443,track,114.15633177534052,
Banni,047256,Pauri Garhwal,1,Yamkeshwar,9730.993244046083,Koteshwar,29524.866080043837,unclassified,0.0,
Dobari,047247,Pauri Garhwal,0,Yamkeshwar,8908.796448597135,Koteshwar,25368.062498832776,tertiary,0.0,
Dangi Laga Bagodgaon,048774,Pauri Garhwal,0,Yamkeshwar,5528.4054509164625,Koteshwar,31577.706028651162,unclassified,662.168502221422,
Mathar Gaon,047258,Pauri Garhwal,1,Yamkeshwar,6156.9392426242575,Koteshwar,30190.053953569848,unclassified,0.0,
Asneth,047224,Pauri Garhwal,0,Yamkeshwar,10695.727565216399,Koteshwar,23345.676013836444,tertiary,635.8427837072379,
Jaspur,047252,Pauri Garhwal,0,Yamkeshwar,11025.572008168634,Koteshwar,27823.428825660856,unclassified,0.0,
Banchuri,048785,Pauri Garhwal,2,Yamkeshwar,3742.4316325059804,Koteshwar,32677.530500837198,unclassified,0.0,
Pili,047248,Pauri Garhwal,1,Yamkeshwar,8710.125593995004,Koteshwar,26413.86917121856,tertiary,0.0,
Saur,047251,Pauri Garhwal,0,Yamkeshwar,10251.355701139353,Koteshwar,27513.563809799052,unclassified,0.0,
Rikhera,048786,Pauri Garhwal,2,Yamkeshwar,3804.4688230057764,Koteshwar,33515.672518509404,unclassified,0.0,
Nau Gaon,048775,Pauri Garhwal,0,Yamkeshwar,4543.160930971339,Koteshwar,31752.534833891965,unclassified,0.0,
Dunda Halwaoi,048720,Pauri Garhwal,1,Yamkeshwar,2528.740434569423,Koteshwar,32351.631720858106,unclassified,0.0,
Manjokhi,047225,Pauri Garhwal,0,Yamkeshwar,9533.408667903053,Koteshwar,23999.92359927695,unclassified,0.0,
Sar,048784,Pauri Garhwal,1,Yamkeshwar,5272.803354479191,Koteshwar,32110.548700392013,unclassified,0.0,
Chandnhi,048713,Pauri Garhwal,0,Yamkeshwar,7576.2881540553235,Koteshwar,32989.112543363095,tertiary,541.6632141813509,
Mugliya Gaon,048621,Pauri Garhwal,0,Yamkeshwar,9409.433326937744,Koteshwar,25782.9857536024,track,0.0,
Kota Talla,048714,Pauri Garhwal,0,Yamkeshwar,6710.802386181679,Koteshwar,33322.649544255204,tertiary,1263.914734992691,
Sigari,048675,Pauri Garhwal,0,Yamkeshwar,5939.694221416091,Koteshwar,26996.50558998432,unclassified,0.0,
Kwiral Gaon,048622,Pauri Garhwal,0,Virbhadra,8455.09019651299,Koteshwar,25692.123083033384,track,0.0,
Noagaon Talla,048705,Pauri Garhwal,0,Yamkeshwar,5964.134473553301,Koteshwar,30880.20011719899,tertiary,0.0,
Diyogi,048815,Pauri Garhwal,0,Yamkeshwar,5998.65876671481,Koteshwar,34715.17144611765,tertiary,887.4872727411856,
Sunar Gaun,048777,Pauri Garhwal,0,Yamkeshwar,4202.557821454522,Koteshwar,30451.707920159384,unclassified,11.254888808100597,
Bunga,048619,Pauri Garhwal,0,Yamkeshwar,8546.492380890151,Koteshwar,24883.331854837725,track,0.0,
Faldakot Malla,048624,Pauri Garhwal,0,Virbhadra,6973.63127510578,Koteshwar,26779.38225642917,tertiary,0.0,
Dubra,048698,Pauri Garhwal,0,Virbhadra,8534.533069897298,Koteshwar,28052.78545455902,tertiary,1.499685681035756,
Rathilaga Deusi,045814,Pauri Garhwal,0,Yamkeshwar,23946.543254703854,Koteshwar,34678.75726781002,unclassified,0.0,
Gahli,048694,Pauri Garhwal,0,Yamkeshwar,7016.461077736614,Koteshwar,28406.09968068181,tertiary,84.49348472315708,
Juledi,048625,Pauri Garhwal,0,Virbhadra,5859.68408579098,Koteshwar,25418.762949280397,unclassified,0.0,
Gankya,048685,Pauri Garhwal,0,Yamkeshwar,6083.329193867985,Koteshwar,28141.38954259988,tertiary,0.0,
Bharpur,048679,Pauri Garhwal,1,Yamkeshwar,3963.369864429001,Koteshwar,28228.7345028896,unclassified,0.0,
Godi,048683,Pauri Garhwal,0,Yamkeshwar,5143.953275810511,Koteshwar,28290.595275140713,unclassified,0.0,
Khera Talla,048697,Pauri Garhwal,0,Yamkeshwar,8068.351984393117,Koteshwar,29388.627086990546,unclassified,0.0,
Kimsar,048820,Pauri Garhwal,0,Yamkeshwar,5555.520147237912,Koteshwar,35908.6411049152,tertiary,0.0,
Sainj,048674,Pauri Garhwal,0,Yamkeshwar,5902.3006564214875,Koteshwar,26098.88915455054,unclassified,0.0,
Kukreti Dhar,048632,Pauri Garhwal,0,Yamkeshwar,9283.965278366963,Koteshwar,26233.6600303707,track,0.0,
Khardogi Malli,048684,Pauri Garhwal,0,Yamkeshwar,5639.194175893737,Koteshwar,27648.737123755385,unclassified,0.0,
Chai Damrada,048738,Pauri Garhwal,2,Yamkeshwar,728.0287841936961,Koteshwar,32165.446999512158,unclassified,0.0,
Jukala,048665,Pauri Garhwal,0,Yamkeshwar,7938.305426693193,Koteshwar,23831.815336337688,secondary,0.0,
Amola,048734,Pauri Garhwal,0,Yamkeshwar,2415.3571447740173,Koteshwar,31034.36543618531,tertiary,0.0,
Khairana,048813,Pauri Garhwal,0,Yamkeshwar,8248.380093390027,Koteshwar,34167.06666099973,tertiary,870.6033557254484,
Siladi,048733,Pauri Garhwal,0,Yamkeshwar,3981.170886954895,Koteshwar,31096.981470778734,unclassified,39.628044427761,
Pundoli Sera,048746,Pauri Garhwal,0,Yamkeshwar,1782.6091860425445,Koteshwar,33463.55582111295,path,0.0,
Vithani,048724,Pauri Garhwal,0,Yamkeshwar,777.6618813319196,Koteshwar,31726.49139075162,unclassified,66.26888127415909,
Ghyal Gaon,048688,Pauri Garhwal,0,Yamkeshwar,4138.267866937256,Koteshwar,29094.714753410826,unclassified,0.0,
Pilkheri,048691,Pauri Garhwal,0,Yamkeshwar,2039.1867597009802,Koteshwar,30177.70825614885,unclassified,0.0,
Nail,048669,Pauri Garhwal,0,Yamkeshwar,9317.406307560492,Koteshwar,24322.68254250999,unclassified,0.0,
Tola,048695,Pauri Garhwal,0,Yamkeshwar,6697.937216013738,Koteshwar,29052.227072708345,tertiary,243.98988897206513,
Patali,048634,Pauri Garhwal,0,Yamkeshwar,7992.139721980564,Koteshwar,27328.263667360563,tertiary,0.0,
Bosali,048716,Pauri Garhwal,0,Yamkeshwar,3539.7420763755063,Koteshwar,33949.80537649507,tertiary,0.0,
Khardogi Talli,048673,Pauri Garhwal,0,Yamkeshwar,6623.344750047909,Koteshwar,26381.47194672838,service,0.0,
Timali Choti,048677,Pauri Garhwal,0,Yamkeshwar,4152.797979889601,Koteshwar,27695.017673419046,unclassified,0.0,
Fandakot Talla,048631,Pauri Garhwal,0,Virbhadra,8253.187176409148,Koteshwar,26748.945265442304,unclassified,0.0,
Gaind,048664,Pauri Garhwal,0,Yamkeshwar,7109.408134907353,Koteshwar,24467.31328970404,secondary,0.0,
Uniyal Damarada,048737,Pauri Garhwal,0,Yamkeshwar,1112.2253678329282,Koteshwar,32006.13721953486,unclassified,0.0,
Pamba Walla,048703,Pauri Garhwal,0,Yamkeshwar,6186.9167014144505,Koteshwar,30059.374103323167,tertiary,154.50068787330963,
Rod Patar,048779,Pauri Garhwal,0,Yamkeshwar,3267.6494990568112,Koteshwar,30909.015556051803,unclassified,0.0,
Chamkot,048755,Pauri Garhwal,0,Yamkeshwar,1624.7669621212592,Koteshwar,34729.30763711489,tertiary,0.0,
Jogiyana Palla Goonth,048839,Pauri Garhwal,0,Yamkeshwar,4724.020696653908,Koteshwar,32590.786620298855,tertiary,744.9507393438365,
Dhorar,048656,Pauri Garhwal,0,Yamkeshwar,8210.520140896215,Koteshwar,25275.61215695644,unclassified,0.0,
Mangatha,048672,Pauri Garhwal,0,Yamkeshwar,6802.401641064767,Koteshwar,26388.646323202353,track,0.0,
Tilfaria Sera Kandi,048758,Pauri Garhwal,0,Yamkeshwar,1134.8041680067367,Koteshwar,34572.83520422525,path,0.0,
Panjai Gaon,048773,Pauri Garhwal,0,Yamkeshwar,5273.928904165181,Koteshwar,31051.804750668358,service,502.2314096823212,
Dhaikhal,048671,Pauri Garhwal,0,Yamkeshwar,7684.333291692629,Koteshwar,25289.153664383866,track,0.0,
Garhi Gaon,047741,Pauri Garhwal,0,Yamkeshwar,21962.385477043223,Koteshwar,37235.36014805884,secondary,62.86967093245985,
Dadoli,048661,Pauri Garhwal,0,Yamkeshwar,6791.139674153925,Koteshwar,25890.88762800082,unclassified,0.0,
Dhoshan,048637,Pauri Garhwal,0,Virbhadra,6016.357949217454,Koteshwar,28195.849602937684,unclassified,0.0,
Dhansi,048658,Pauri Garhwal,0,Yamkeshwar,6828.770302852009,Koteshwar,26196.14179922715,unclassified,0.0,
Dhunga Walara,048723,Pauri Garhwal,0,Yamkeshwar,711.0117770966948,Koteshwar,32722.018187662117,track,0.0,
Gumal Gaon Chota,048682,Pauri Garhwal,0,Yamkeshwar,4951.996947606536,Koteshwar,27938.575757354534,unclassified,12.392673526782923,
Galiban,048742,Pauri Garhwal,0,Yamkeshwar,639.6365887194149,Koteshwar,34383.560381531766,unclassified,0.0,
Papari,048659,Pauri Garhwal,0,Yamkeshwar,5673.19439458653,Koteshwar,27383.13475185808,unclassified,0.0,
Khaira,048655,Pauri Garhwal,0,Yamkeshwar,8682.02543864726,Koteshwar,23223.714557701667,unclassified,0.0,
Munzra,048739,Pauri Garhwal,0,Yamkeshwar,178.84838867370448,Koteshwar,32863.080803982746,unclassified,0.0,
Dal Mogi,048696,Pauri Garhwal,0,Yamkeshwar,7543.979534512231,Koteshwar,29751.799620421938,unclassified,235.13415646506252,
Shrikot,048660,Pauri Garhwal,0,Yamkeshwar,5617.058435827279,Koteshwar,26767.52643195547,unclassified,329.5809158344594,
Jogyana,048819,Pauri Garhwal,0,Yamkeshwar,8152.555031903811,Koteshwar,36144.74287641051,tertiary,0.0,
Gumal Gaon Bara,048676,Pauri Garhwal,0,Yamkeshwar,4622.367634153969,Koteshwar,27376.149003478644,unclassified,0.0,
Pamba Palla,048704,Pauri Garhwal,0,Yamkeshwar,6096.206055839611,Koteshwar,30506.21000295009,tertiary,36.23384540163643,
Tola Sari,048699,Pauri Garhwal,0,Virbhadra,7767.949200520049,Koteshwar,28905.83964197195,unclassified,0.0,
Kulajamin,048654,Pauri Garhwal,0,Yamkeshwar,8666.192930804636,Koteshwar,23439.20800038819,unclassified,0.0,
Gujrari,048707,Pauri Garhwal,0,Virbhadra,8556.863427483348,Koteshwar,31302.670820674008,tertiary,298.42743047264975,
Amagadi,048636,Pauri Garhwal,0,Virbhadra,7509.452179231346,Koteshwar,28095.63436901961,unclassified,0.0,
Pokhari,048686,Pauri Garhwal,0,Yamkeshwar,4773.725804638418,Koteshwar,29302.28600779142,unclassified,0.0,
Jiya Damrada,048735,Pauri Garhwal,1,Yamkeshwar,1604.5643525402277,Koteshwar,31992.755611848894,tertiary,0.0,
Gaj Sera,048744,Pauri Garhwal,0,Yamkeshwar,1012.733503972187,Koteshwar,33980.820112337184,path,0.0,
Timali Bari,048690,Pauri Garhwal,1,Yamkeshwar,2979.6593136891693,Koteshwar,29792.493000199942,unclassified,0.0,
Banas Malla,048816,Pauri Garhwal,0,Yamkeshwar,7466.91718633013,Koteshwar,35341.30375728567,tertiary,0.0,
Ranchula,048731,Pauri Garhwal,0,Yamkeshwar,3920.763573829009,Koteshwar,31754.581820427127,tertiary,0.0,
Painya,048630,Pauri Garhwal,0,Virbhadra,6954.524923034349,Koteshwar,27320.78210566647,unclassified,83.60222668065964,
Baswa,048700,Pauri Garhwal,0,Virbhadra,7936.0581265232395,Koteshwar,30165.402907298238,unclassified,470.503816067839,
Jamli Gaon,048717,Pauri Garhwal,0,Yamkeshwar,3684.7471751381563,Koteshwar,29858.516202367668,track,0.0,
Awai,048751,Pauri Garhwal,0,Yamkeshwar,1624.7669621212592,Koteshwar,33634.992188404234,path,0.0,
Umatha,048635,Pauri Garhwal,0,Yamkeshwar,8912.576534797317,Koteshwar,26762.619501241243,tertiary,0.0,
Sindhai,048663,Pauri Garhwal,0,Yamkeshwar,6302.4536027415015,Koteshwar,25350.205521342406,unclassified,0.0,
Shahjada,048814,Pauri Garhwal,0,Yamkeshwar,7011.3782496179565,Koteshwar,34311.710212198544,tertiary,885.5953165865604,
Jaskot,048662,Pauri Garhwal,0,Yamkeshwar,5717.473024499809,Koteshwar,26518.10825543472,unclassified,293.3500657439335,
Panchur,048759,Pauri Garhwal,0,Yamkeshwar,232.65152629808784,Koteshwar,33664.80691276146,track,0.0,
